sample_index,t_sec,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VBAT(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),FREQ,TRIG,digital_hex,TRIP,REMTRIP,50P1P,ORED50T,51AT,label_fault,trigger_used
26,0.01625,,-3.5,0.0,3.5,3.5,-76,221,-145,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
27,0.016875,,-3.5,0.0,0.0,3.5,-118,226,-108,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
28,0.0175,,-10.5,3.5,0.0,-7.0,-153,221,-68,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
29,0.018125,,-7.0,-3.5,7.0,-10.5,-182,206,-24,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
30,0.01875,,0.0,0.0,3.5,0.0,-205,185,20,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
31,0.019375,,0.0,0.0,0.0,0.0,-219,156,62,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
32,0.02,,0.0,0.0,0.0,-3.5,-226,121,104,0,233,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
33,0.020625,,-7.0,0.0,-3.5,-7.0,-225,82,142,0,232,0.01,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
34,0.02125,,-3.5,-3.5,-3.5,-3.5,-212,39,172,0,232,0.02,0.0,0.0,0.03,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
35,0.021875,,0.0,0.0,-3.5,7.0,-192,-7,198,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
36,0.0225,,-3.5,-3.5,0.0,-3.5,-167,-49,215,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
37,0.023125,,-3.5,-7.0,0.0,-7.0,-133,-91,224,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
